Year,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
2017,New Zealand,Australia and New Zealand,8,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512021,0.38281670212745705,0.500005125999451
2017,Sweden,Western Europe,9,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,0.38539925217628496
2017,Australia,Australia and New Zealand,10,7.28399991989136,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834
2018,Finland,Western Europe,1,7.6320000000000014,1.305,1.592,0.8740000000000001,0.6809999999999999,0.393,0.202
2018,Norway,Western Europe,2,7.5939999999999985,1.456,1.582,0.861,0.6859999999999999,0.34,0.28600000000000003
2018,Denmark,Western Europe,3,7.555,1.351,1.59,0.868,0.6829999999999999,0.408,0.284
2018,Iceland,Western Europe,4,7.495,1.3430000000000002,1.644,0.914,0.677,0.138,0.353
2018,Switzerland,Western Europe,5,7.487,1.42,1.5490000000000002,0.927,0.66,0.35700000000000004,0.256
2018,Netherlands,Western Europe,6,7.441,1.361,1.4880000000000002,0.878,0.638,0.295,0.333
2018,Canada,North America,7,7.3279999999999985,1.33,1.5319999999999998,0.8959999999999999,0.653,0.29100000000000004,0.321
2018,New Zealand,Australia and New Zealand,8,7.324,1.268,1.601,0.8759999999999999,0.669,0.389,0.365
2018,Sweden,Western Europe,9,7.314,1.355,1.501,0.913,0.659,0.383,0.285
2018,Australia,Australia and New Zealand,10,7.272,1.34,1.5730000000000002,0.91,0.647,0.302,0.361
2019,Finland,Western Europe,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153
2019,Denmark,Western Europe,2,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252
2019,Norway,Western Europe,3,7.5539999999999985,1.4880000000000002,1.582,1.028,0.603,0.341,0.271
2019,Iceland,Western Europe,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354
2019,Netherlands,Western Europe,5,7.487999999999999,1.396,1.5219999999999998,0.999,0.557,0.298,0.322
2019,Switzerland,Western Europe,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.343,0.263
2019,Sweden,Western Europe,7,7.343,1.3869999999999998,1.487,1.009,0.574,0.373,0.267
2019,New Zealand,Australia and New Zealand,8,7.307,1.3030000000000002,1.557,1.026,0.585,0.38,0.33
2019,Canada,North America,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285
2019,Austria,Western Europe,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244
